,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
71,Riyadh,   حي الربوة ,West,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000
72,Riyadh,   حي القيروان ,East,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000
74,Riyadh,   حي عليشة ,North,325,12,5,4,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000
75,Riyadh,   حي الرمال ,West,310,0,7,4,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000
76,Riyadh,   حي السليمانية ,West,220,9,4,4,3,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
77,Riyadh,   حي الملك فيصل ,West,250,15,7,5,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000
78,Riyadh,   حي الملقا ,East,200,3,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000
79,Riyadh,   حي الرمال ,East,298,0,3,4,2,1,0,0,1,0,0,0,0,1,0,0,1,0,1,45000
80,Riyadh,   حي الرمال ,South,300,0,6,5,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,40000
81,Riyadh,   حي النرجس ,East,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
82,Riyadh,   حي العقيق ,South,300,6,4,5,3,1,1,1,1,0,1,0,0,1,1,1,0,0,0,120000
83,Riyadh,   حي الورود ,Northeast,580,20,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,150000
84,Riyadh,   حي النرجس ,East,230,0,3,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,90000
85,Riyadh,   حي حطين ,North,460,0,5,5,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,400000
86,Riyadh,   حي الملقا ,East,228,0,4,5,2,1,1,1,1,0,1,0,0,1,0,1,1,0,0,150000
87,Riyadh,   حي العارض ,North,200,4,5,5,2,1,1,1,1,1,1,1,0,1,0,1,1,0,1,110000
88,Riyadh,   حي الياسمين ,Northeast,350,4,5,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,1,125000
89,Riyadh,   حي السليمانية ,Southwest,300,7,4,3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,125000
91,Riyadh,   حي المناخ ,North,600,5,7,5,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,140000
92,Riyadh,   حي الحزم ,East,298,0,5,5,3,1,1,0,1,0,0,1,0,1,0,1,1,0,0,50000
93,Riyadh,   حي الرمال ,North,300,0,4,5,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,45000
94,Riyadh,   حي العارض ,South,300,0,4,5,2,1,1,1,1,0,1,0,0,1,0,0,1,0,0,85000
95,Riyadh,   حي البديعة ,North,1600,35,5,5,5,1,1,1,1,0,0,1,0,1,0,0,1,0,0,70000
96,Riyadh,   حي النرجس ,East,250,0,4,5,2,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
97,Riyadh,   حي العارض ,East,375,3,5,5,2,1,1,1,1,1,1,1,0,1,0,0,1,0,1,110000
98,Riyadh,   حي الشهداء ,East,300,15,7,5,2,0,1,1,1,0,0,0,0,1,0,1,1,0,0,50000
99,Riyadh,   حي الروضة ,West,3000,19,3,5,5,1,1,1,1,1,1,0,1,1,1,0,0,0,0,250000
100,Riyadh,   حي قرطبة ,East,312,10,4,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,85000
101,Riyadh,   حي الصحافة ,West,350,2,5,5,2,1,0,1,1,0,1,0,0,1,1,0,1,0,1,90000
102,Riyadh,   حي العريجاء الغربية ,Three Streets,1600,4,5,5,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0,250000
103,Riyadh,   حي العارض ,South,300,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85000
104,Riyadh,   حي المونسية ,East,253,5,4,5,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,50000
